id,short_name,full_name,impact_factor,publisher,issn,ccf_rank,updated_at,detail_page
74,FUIN,Fundamenta Informaticae,,IOS Press,0169-2968,C,2013-10-03,https://www.myhuiban.com/journal/74
145,GMOD,Graphical Models,2.2,Elsevier,1524-0703,C,2026-01-04,https://www.myhuiban.com/journal/145
1221,HCC,High-Confidence Computing,9.0,Elsevier,2667-2952,C,2026-06-20,https://www.myhuiban.com/journal/1221
1227,HEALTH,ACM Transactions on Computing for Healthcare,,ACM,2637-8051,C,2026-06-20,https://www.myhuiban.com/journal/1227
126,I&M,Information & Management,8.2,Elsevier,0378-7206,C,2025-08-02,https://www.myhuiban.com/journal/126
697,IDA,Intelligent Data Analysis,0.900,IOS Press,1088-467X,C,2024-08-23,https://www.myhuiban.com/journal/697
696,IET-CVI,IET Computer Vision,1.3,IET,1350-245X,C,2026-03-03,https://www.myhuiban.com/journal/696
158,IET-IPR,IET Image Processing,2.3,IET,1751-9659,C,2026-01-09,https://www.myhuiban.com/journal/158
221,IJCIA,International Journal of Computational Intelligence and Applications,,World Scientific,1469-0268,C,2013-10-05,https://www.myhuiban.com/journal/221
117,IJCIS,International Journal of Cooperative Information Systems,0.500,World Scientific,0218-8430,C,2024-08-13,https://www.myhuiban.com/journal/117
491,IJDAR,International Journal on Document Analysis and Recognition,2.5,Springer,1433-2833,C,2026-01-10,https://www.myhuiban.com/journal/491
129,IJGIS,International Journal of Geographical Information Science,5.1,Taylor & Francis,1365-8816,C,2025-12-29,https://www.myhuiban.com/journal/129
675,IJICS,International Journal of Information and Computer Security,,Inderscience,1744-1765,C,2024-08-25,https://www.myhuiban.com/journal/675
130,IJIS,International Journal of Intelligent Systems,,Wiley,1098-111X,C,2013-10-03,https://www.myhuiban.com/journal/130
32,IJISP,International Journal of Information Security and Privacy,0.800,IGI Global,1930-1650,C,2024-08-25,https://www.myhuiban.com/journal/32
131,IJKM,International Journal of Knowledge Management,,IGI Global,1548-0666,C,2013-10-03,https://www.myhuiban.com/journal/131
223,IJNS,International Journal of Neural Systems,6.4,World Scientific,0129-0657,C,2025-12-23,https://www.myhuiban.com/journal/223
698,IJPRAI,International Journal of Pattern Recognition and Artificial Intelligence,1.1,World Scientific,0218-0014,C,2026-03-03,https://www.myhuiban.com/journal/698
85,IJSEKE,International Journal of Software Engineering and Knowledge Engineering,,World Scientific,0218-1940,C,2013-10-03,https://www.myhuiban.com/journal/85
616,IJSWIS,International Journal on Semantic Web and Information Systems,3.200,IGI Global,1552-6283,C,2024-08-23,https://www.myhuiban.com/journal/616
225,IJUFKS,"International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems",,World Scientific,0218-4885,C,2013-10-05,https://www.myhuiban.com/journal/225
416,IMAGE,Signal Processing: Image Communication,2.7,Elsevier,0923-5965,C,2025-08-02,https://www.myhuiban.com/journal/416
55,IMCS,Information Management & Computer Security,,Emerald,0968-5227,C,2013-10-03,https://www.myhuiban.com/journal/55
127,IPL,Information Processing Letters,0.6,Elsevier,0020-0190,C,2026-05-08,https://www.myhuiban.com/journal/127
220,IVC,Image and Vision Computing,4.2,Elsevier,0262-8856,C,2025-12-26,https://www.myhuiban.com/journal/220
382,Integration,"Integration, the VLSI Journal",2.5,Elsevier,0167-9260,C,2026-01-04,https://www.myhuiban.com/journal/382
564,IoT-J,IEEE Internet of Things Journal,8.9,IEEE,2327-4662 ,C,2025-08-03,https://www.myhuiban.com/journal/564
1173,JATS,ACM Journal on Autonomous Transportation Systems,,ACM,2833-0528,C,2024-08-09,https://www.myhuiban.com/journal/1173
662,JBHI,IEEE Journal of Biomedical and Health Informatics,6.7,IEEE,2168-2194,C,2025-09-26,https://www.myhuiban.com/journal/662
703,JBI,Journal of Biomedical Informatics,4.5,Elsevier,1532-0464,C,2025-12-29,https://www.myhuiban.com/journal/703
132,JCIS,Journal of Computer Information Systems,4.2,Taylor & Francis,0887-4417,C,2026-01-04,https://www.myhuiban.com/journal/132
64,JCOMPLEXITY,Journal of Complexity,1.8,Elsevier,0885-064X,C,2025-12-13,https://www.myhuiban.com/journal/64
118,JDM,Journal of Database Management,2.600,IGI Global,1063-8016,C,2024-08-11,https://www.myhuiban.com/journal/118
226,JETAI,Journal of Experimental and Theoretical Artificial Intelligence,1.7,Taylor & Francis,0952-813X,C,2026-01-10,https://www.myhuiban.com/journal/226
339,JETC,ACM Journal on Emerging Technologies in Computing Systems,2.6,ACM,1550-4832,C,2026-01-09,https://www.myhuiban.com/journal/339
688,JETTA,Journal of Electronic Testing: Theory and Applications,1.3,Springer,0923-8174,C,2026-04-11,https://www.myhuiban.com/journal/688
39,JGC,Journal of Grid Computing,2.9,Springer,1570-7873,C,2025-12-30,https://www.myhuiban.com/journal/39
677,JGITM,Journal of Global Information Technology Management,2.6,Taylor & Francis,1097-198X,C,2026-01-03,https://www.myhuiban.com/journal/677
134,JIIS,Journal of Intelligent Information Systems,3.4,Springer,0925-9902,C,2026-01-08,https://www.myhuiban.com/journal/134
393,JISA,Journal of Information Security and Applications,3.7,Elsevier,2214-2126,C,2025-12-30,https://www.myhuiban.com/journal/393
666,JLAMP,Journal of Logical and Algebraic Methods in Programming,1.0,Elsevier,2352-2208,C,2026-08-12,https://www.myhuiban.com/journal/666
45,JNCA,Journal of Network and Computer Applications,8.0,Elsevier,1084-8045,C,2025-08-03,https://www.myhuiban.com/journal/45
136,JSIS,The Journal of Strategic Information Systems,11.8,Elsevier,0963-8687,C,2025-08-02,https://www.myhuiban.com/journal/136
67,JSL,The Journal of Symbolic Logic,,Cambridge University Press,0022-4812,C,2026-06-20,https://www.myhuiban.com/journal/67
161,JVCIR,Journal of Visual Communication and Image Representation,2.8,Elsevier,1047-3203,C,2026-07-01,https://www.myhuiban.com/journal/161
689,JWE,Journal of Web Engineering,,Rinton Press,1540-9589,C,2024-08-25,https://www.myhuiban.com/journal/689
227,KBS,Knowledge-Based Systems,7.2,Elsevier,0950-7051,C,2025-05-26,https://www.myhuiban.com/journal/227
75,LMCS,Logical Methods in Computer Science,,Logical Methods in Computer Science,1860-5974,C,,https://www.myhuiban.com/journal/75
98,LOGCOM,Journal of Logic and Computation,0.7,Oxford University Press,0955-792X,C,2026-03-02,https://www.myhuiban.com/journal/98
522,MONET,Mobile Networks and Applications,2.0,Springer,1383-469X,C,2026-01-09,https://www.myhuiban.com/journal/522
162,MS,Multimedia Systems,3.1,Springer,0942-4962,C,2025-12-30,https://www.myhuiban.com/journal/162
163,MTA,Multimedia Tools and Applications,,Springer,1380-7501,C,2026-01-04,https://www.myhuiban.com/journal/163
